date,cases
2020-04-01,25,3281
2020-04-02,163,3444
2020-04-03,162,3606
2020-04-04,330,3936
2020-04-05,0,3936
2020-04-06,175,4111
2020-04-07,223,4334
2020-04-08,0.4334
2020-04-09,443,4777
2020-04-10,124,4864
2020-04-11,214,4988
2020-04-12,90,5078
2020-04-13,34,5112
2020-04-14,76,5188
2020-04-15,167,5355
2020-04-16,138,5493
2020-04-17,61,5554
2020-04-18,245,5799
2020-04-19,-79,5702
2020-04-20,122,5814
2020-04-21,155,5969
2020-04-22,134,6103
2020-04-23,55,6158
2020-04-24,216,6374
2020-04-25,105,6479
2020-04-26,61,6540
2020-04-27,97,6637
2020-04-28,145,6782
2020-04-29,190,6972
2020-04-30,87,7059
2020-05-01,25,7084
2020-05-02,70,7154
2020-05-03,62,7216
2020-05-04,5,7221
